Analog in 2	Analog in 1
U2/V	U1/V

0,32	0,01
0,42	0,01
0,52	0,01
0,61	0,01
0,70	0,01
0,80	0,01
0,89	0,01
0,99	0,01
1,09	0,01
1,17	0,01
1,26	0,02
1,35	0,01
1,46	0,02
1,53	0,02
1,64	0,02
1,71	0,02
1,80	0,02
1,88	0,02
1,99	0,02
2,06	0,02
2,15	0,03
2,24	0,02
2,34	0,03
2,41	0,03
2,49	0,03
2,58	0,03
2,67	0,03
2,76	0,03
2,82	0,04
2,91	0,04
2,99	0,04
3,08	0,04
3,15	0,04
3,25	0,04
3,31	0,04
3,40	0,05
3,49	0,05
3,53	0,05
3,64	0,05
3,72	0,06
3,79	0,06
3,87	0,07
3,96	0,07
4,02	0,07
4,09	0,08
4,17	0,09
4,25	0,09
4,32	0,10
4,40	0,10
4,47	0,11
4,53	0,11
4,61	0,12
4,69	0,12
4,76	0,12
4,84	0,13
4,91	0,13
4,99	0,13
5,03	0,13
5,13	0,13
5,19	0,14
5,26	0,14
5,34	0,14
5,40	0,15
5,46	0,15
5,54	0,15
5,60	0,15
5,67	0,15
5,73	0,16
5,81	0,17
5,87	0,17
5,94	0,17
6,01	0,18
6,08	0,19
6,13	0,20
6,20	0,21
6,26	0,22
6,32	0,23
6,40	0,24
6,45	0,25
6,52	0,27
6,58	0,28
6,64	0,30
6,70	0,31
6,78	0,32
6,82	0,33
6,89	0,35
6,95	0,36
7,01	0,37
7,07	0,38
7,14	0,38
7,19	0,39
7,25	0,40
7,31	0,40
7,37	0,40
7,42	0,41
7,48	0,41
7,55	0,41
7,61	0,41
7,66	0,41
7,72	0,41
7,78	0,41
7,84	0,41
7,89	0,41
7,95	0,41
8,01	0,41
8,05	0,42
8,11	0,42
8,16	0,42
8,22	0,42
8,27	0,43
8,33	0,43
8,39	0,44
8,43	0,45
8,49	0,45
8,54	0,46
8,60	0,47
8,64	0,48
8,69	0,50
8,75	0,51
8,80	0,52
8,86	0,54
8,90	0,55
8,95	0,57
8,99	0,59
9,05	0,61
9,10	0,63
9,14	0,65
9,21	0,68
9,25	0,70
9,28	0,73
9,34	0,75
9,39	0,78
9,45	0,80
9,48	0,82
9,52	0,84
9,58	0,86
9,63	0,87
9,68	0,88
9,72	0,90
9,77	0,91
9,81	0,91
9,86	0,92
9,90	0,92
9,95	0,93
9,99	0,93
10,02	0,93
10,07	0,93
10,12	0,93
10,18	0,93
10,21	0,93
10,25	0,92
10,30	0,92
10,34	0,92
10,39	0,92
10,43	0,92
10,46	0,91
10,51	0,91
10,56	0,91
10,60	0,91
10,63	0,91
10,68	0,91
10,72	0,91
10,75	0,91
10,81	0,91
10,84	0,91
10,89	0,92
10,92	0,92
10,96	0,93
10,99	0,93
11,04	0,94
11,09	0,95
11,12	0,96
11,16	0,97
11,21	0,98
11,24	1,00
11,27	1,01
11,31	1,03
11,36	1,05
11,39	1,07
11,42	1,09
11,47	1,11
11,50	1,14
11,53	1,16
11,57	1,19
11,60	1,22
11,65	1,25
11,69	1,27
11,72	1,30
11,77	1,34
11,78	1,37
11,83	1,40
11,86	1,43
11,89	1,46
11,94	1,50
11,97	1,54
12,00	1,57
12,03	1,60
12,07	1,63
12,10	1,65
12,13	1,68
12,16	1,70
12,21	1,72
12,24	1,74
12,27	1,76
12,30	1,78
12,33	1,79
12,36	1,80
12,41	1,82
12,44	1,82
12,47	1,82
12,50	1,83
12,53	1,84
12,56	1,84
12,59	1,84
12,62	1,84
12,65	1,83
12,69	1,83
12,72	1,83
12,74	1,83
12,78	1,82
12,80	1,82
12,85	1,81
12,88	1,80
12,91	1,80
12,92	1,79
12,97	1,78
13,00	1,78
13,01	1,77
13,04	1,76
13,07	1,75
13,10	1,74
13,13	1,73
13,16	1,72
13,19	1,71
13,22	1,71
13,24	1,70
13,28	1,70
13,30	1,69
13,33	1,69
13,36	1,68
13,39	1,68
13,42	1,67
13,45	1,67
13,47	1,67
13,50	1,67
13,53	1,67
13,54	1,68
13,54	1,68
13,60	1,68
13,62	1,69
13,65	1,70
13,68	1,71
13,71	1,71
13,72	1,73
13,76	1,74
13,77	1,75
13,80	1,77
13,83	1,78
13,86	1,80
13,88	1,82
13,91	1,83
13,94	1,85
13,95	1,88
13,98	1,89
14,00	1,92
14,03	1,94
14,06	1,97
14,07	1,99
14,10	2,02
14,13	2,05
14,15	2,08
14,18	2,11
14,19	2,15
14,23	2,18
14,26	2,21
14,27	2,24
14,29	2,28
14,32	2,32
14,33	2,35
14,36	2,39
14,38	2,43
14,41	2,46
14,44	2,50
14,45	2,53
14,47	2,57
14,50	2,61
14,51	2,64
14,54	2,68
14,56	2,71
14,59	2,75
14,60	2,77
14,62	2,81
14,65	2,84
14,68	2,87
14,70	2,90
14,71	2,92
14,74	2,95
14,76	2,97
14,77	2,99
14,79	3,02
14,82	3,03
14,83	3,06
14,85	3,07
14,86	3,09
14,91	3,10
14,91	3,12
14,94	3,13
14,95	3,14
14,98	3,15
15,00	3,16
15,01	3,16
15,03	3,17
15,06	3,18
15,07	3,18
15,09	3,18
15,10	3,19
15,14	3,19
15,17	3,19
15,17	3,19
15,18	3,19
15,21	3,18
15,23	3,18
15,24	3,18
15,26	3,18
15,27	3,17
15,30	3,17
15,32	3,16
15,33	3,16
15,35	3,15
15,36	3,14
15,41	3,13
15,41	3,13
15,42	3,12
15,44	3,11
15,47	3,10
15,48	3,09
15,48	3,08
15,51	3,07
15,53	3,06
15,54	3,05
15,56	3,03
15,57	3,02
15,59	3,00
15,62	2,99
15,64	2,97
15,65	2,96
15,65	2,95
15,68	2,93
15,70	2,93
15,71	2,91
15,73	2,90
15,74	2,90
15,76	2,89
15,77	2,88
15,79	2,87
15,80	2,85
15,82	2,85
15,83	2,84
15,86	2,83
15,86	2,82
15,89	2,81
15,89	2,80
15,91	2,79
15,94	2,78
15,95	2,77
15,97	2,77
15,97	2,76
15,98	2,75
16,01	2,74
16,01	2,74
16,05	2,73
16,06	2,73
16,06	2,73
16,09	2,73
16,09	2,73
16,11	2,72
16,14	2,72
16,14	2,72
16,15	2,72
16,17	2,73
16,18	2,73
16,20	2,73
16,21	2,73
16,23	2,74
16,24	2,74
16,26	2,75
16,26	2,75
16,27	2,76
16,29	2,77
16,30	2,78
16,32	2,78
16,33	2,79
16,35	2,80
16,35	2,81
16,38	2,82
16,39	2,84
16,41	2,85
16,41	2,86
16,42	2,87
16,44	2,89
16,45	2,90
16,45	2,91
16,48	2,93
16,48	2,95
16,48	2,96
16,52	2,98
16,53	2,99
16,53	3,01
16,55	3,03
16,56	3,05
16,56	3,07
16,58	3,08
16,59	3,10
16,62	3,12
16,62	3,14
16,64	3,16
16,64	3,18
16,65	3,20
16,67	3,22
16,68	3,24
16,68	3,26
16,70	3,28
16,71	3,31
16,73	3,33
16,74	3,35
16,74	3,38
16,76	3,40
16,77	3,42
16,77	3,45
16,79	3,47
16,80	3,49
16,82	3,52
16,82	3,55
16,83	3,57
16,85	3,60
16,86	3,62
16,86	3,65
16,88	3,67
16,89	3,70
16,91	3,72
16,92	3,75
16,92	3,77
16,94	3,80
16,94	3,82
16,96	3,85
16,97	3,88
16,99	3,90
16,99	3,92
17,00	3,95
