Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,00	0,21
100	0,00	0,30
200	0,00	0,41
300	0,00	0,52
400	0,00	0,61
500	0,00	0,70
600	0,00	0,79
700	0,00	0,89
800	0,00	0,99
900	0,00	1,08
1000	0,00	1,17
1100	0,00	1,26
1200	0,00	1,35
1300	0,00	1,44
1400	0,00	1,53
1500	0,00	1,64
1600	0,00	1,71
1700	0,00	1,80
1800	0,00	1,90
1900	0,00	1,99
2000	0,00	2,08
2100	0,00	2,17
2200	0,00	2,24
2300	0,00	2,34
2400	0,00	2,43
2500	0,01	2,50
2600	0,00	2,59
2700	0,01	2,68
2800	0,01	2,76
2900	0,01	2,84
3000	0,01	2,93
3100	0,01	3,00
3200	0,01	3,09
3300	0,01	3,18
3400	0,01	3,26
3500	0,01	3,34
3600	0,02	3,43
3700	0,02	3,50
3800	0,02	3,58
3900	0,02	3,65
4000	0,02	3,75
4100	0,02	3,81
4200	0,02	3,90
4300	0,02	3,97
4400	0,03	4,05
4500	0,03	4,13
4600	0,03	4,22
4700	0,03	4,28
4800	0,04	4,35
4900	0,04	4,43
5000	0,04	4,49
5100	0,04	4,58
5200	0,05	4,66
5300	0,05	4,72
5400	0,05	4,79
5500	0,05	4,87
5600	0,06	4,93
5700	0,06	5,02
5800	0,05	5,10
5900	0,06	5,16
6000	0,07	5,23
6100	0,07	5,29
6200	0,07	5,37
6300	0,07	5,43
6400	0,07	5,51
6500	0,08	5,57
6600	0,08	5,64
6700	0,08	5,72
6800	0,08	5,78
6900	0,09	5,84
7000	0,09	5,90
7100	0,09	5,98
7200	0,09	6,04
7300	0,10	6,11
7400	0,10	6,17
7500	0,11	6,23
7600	0,11	6,31
7700	0,11	6,37
7800	0,11	6,43
7900	0,12	6,51
8000	0,12	6,57
8100	0,13	6,61
8200	0,13	6,69
8300	0,14	6,75
8400	0,14	6,81
8500	0,15	6,87
8600	0,15	6,95
8700	0,16	6,99
8800	0,16	7,05
8900	0,17	7,11
9000	0,17	7,17
9100	0,18	7,23
9200	0,18	7,29
9300	0,19	7,36
9400	0,19	7,42
9500	0,20	7,46
9600	0,20	7,52
9700	0,20	7,58
9800	0,21	7,64
9900	0,21	7,70
10000	0,22	7,76
10100	0,22	7,81
10200	0,23	7,89
10300	0,23	7,93
10400	0,23	7,98
10500	0,23	8,04
10600	0,23	8,10
10700	0,24	8,14
10800	0,24	8,20
10900	0,25	8,25
11000	0,25	8,31
11100	0,25	8,37
11200	0,26	8,42
11300	0,26	8,48
11400	0,27	8,52
11500	0,27	8,58
11600	0,27	8,63
11700	0,28	8,67
11800	0,28	8,74
11900	0,28	8,78
12000	0,29	8,83
12100	0,30	8,89
12200	0,30	8,93
12300	0,30	8,98
12400	0,31	9,04
12500	0,32	9,08
12600	0,32	9,13
12700	0,33	9,18
12800	0,34	9,24
12900	0,34	9,28
13000	0,35	9,34
13100	0,36	9,39
13200	0,37	9,43
13300	0,38	9,46
13400	0,38	9,52
13500	0,39	9,57
13600	0,40	9,61
13700	0,41	9,66
13800	0,42	9,72
13900	0,43	9,75
14000	0,44	9,80
14100	0,45	9,84
14200	0,45	9,89
14300	0,46	9,93
14400	0,47	9,98
14500	0,47	10,02
14600	0,48	10,07
14700	0,49	10,12
14800	0,49	10,16
14900	0,50	10,21
15000	0,50	10,25
15100	0,51	10,31
15200	0,51	10,34
15300	0,51	10,37
15400	0,52	10,42
